"Time","V(n02)","I(L1)"
0.000300001,24.5111195527877,0.513482624662095
0.000300003,24.5102944387737,0.513516583795671
0.000300007,24.5086465982824,0.513584506386953
0.000300015,24.5053604580538,0.513720369031486
0.000300031000000001,24.4988262406426,0.513991882438456
0.000300051000000001,24.4906920608918,0.514331335098859
0.000300071,24.482616801108,0.514670894465215
0.000300091,24.4746003569555,0.515010560020026
0.000300111,24.4666426201559,0.515350331053285
0.000300131,24.4587434789123,0.515690206848538
0.000300151,24.4509028182993,0.516030186681143
0.000300171,24.4431205206114,0.516370269821714
0.000300191,24.4353964656775,0.516710455536949
0.000300211,24.4277305311422,0.517050743092149
0.000300231,24.4201225927195,0.517391131756397
0.000300251,24.4125725244194,0.517731620786102
0.000300271,24.4050801987512,0.518072209436248
0.000300291,24.3976454869069,0.518412896966801
0.000300311,24.3902682589255,0.518753682633237
0.000300331,24.3829483838403,0.519094565695378
0.000300351,24.3756857298112,0.51943554540222
0.000300371,24.3684801642426,0.519776621005708
0.000300391,24.3613315538908,0.52011779176401
0.000300411,24.3542397649598,0.520459056934836
0.000300431,24.3472046631866,0.520800415774636
0.000300451,24.3402261139182,0.521141867531237
0.000300471,24.3333039821795,0.521483411457622
0.000300491,24.326438132737,0.521825046816901
0.000300511,24.3196284301536,0.522166772868403
0.000300531,24.3128747388389,0.522508588870318
0.000300551,24.3061769230932,0.522850494085587
0.000300571,24.2995348471481,0.523192487773861
0.000300591,24.2929483752015,0.523534569193719
0.000300611,24.2864173714504,0.523876737612687
0.000300631,24.27994170012,0.524218992294195
0.000300651,24.2735212254885,0.524561332500896
0.000300671,24.2671558119111,0.524903757504153
0.000300691,24.2608453238406,0.525246266574283
0.000300711,24.2545896258461,0.525588858982236
0.000300731,24.248388582629,0.52593153399661
0.000300751,24.2422420590381,0.526274290895197
0.000300771,24.2361499200834,0.526617128955659
0.000300791,24.2301120309475,0.52696004745342
0.000300811,24.2241282569959,0.527303045665792
0.000300831,24.2181984637867,0.527646122873145
0.000300851,24.2123225170794,0.52798927836372
0.000300871,24.2065002828423,0.528332511419664
0.000300891,24.2007316272584,0.52867582131841
0.000300911,24.1950164167316,0.529019207346139
0.000300931,24.1893545178924,0.529362668797476
0.000300951,24.183745797603,0.529706204966964
0.000300971,24.178190122961,0.530049815142736
0.000300991,24.1726873613028,0.530393498613891
0.000301011,24.1672373802066,0.530737254678652
0.000301031,24.1618400474965,0.531081082641803
0.000301051,24.1564952312445,0.531424981799272
0.000301071,24.1512027997721,0.531768951447707
0.000301091,24.1459626216526,0.53211299089531
0.000301111,24.1407745657131,0.532457099442546
0.000301131,24.135638501035,0.532801276391944
0.000301151,24.1305542969561,0.533145521056579
0.000301171,24.1255218230719,0.533489832747981
0.000301191,24.1205409492361,0.533834210775434
0.000301211,24.115611545561,0.534178654449937
0.000301231,24.1107334824187,0.534523163087858
0.000301251,24.1059066304412,0.5348677360058
0.000301271,24.1011308605213,0.535212372522598
0.000301291,24.0964060438126,0.535557071957546
0.000301311,24.091732051729,0.535901833625942
0.000301331,24.0871087559458,0.536246656851413
0.000301351,24.0825360283997,0.536591540967755
0.000301371,24.0780137412894,0.536936485301911
0.000301391,24.0735417670744,0.537281489172612
0.000301411,24.0691199784747,0.537626551913017
0.000301431,24.0647482484722,0.537971672858069
0.000301451,24.0604264503094,0.538316851337603
0.000301471,24.0561544574896,0.538662086691993
0.000301491,24.051932143777,0.539007378260202
0.000301511,24.0477593831959,0.539352725372375
0.000301531,24.0436360500296,0.539698127366862
0.000301551,24.0395620188214,0.54004358358805
0.000301571,24.0355371643741,0.540389093380194
0.000301591,24.0315613617491,0.540734656088215
0.000301611,24.0276344862669,0.541080271057819
0.000301631,24.0237564135061,0.541425937643174
0.000301651,24.0199270193034,0.541771655191308
0.000301671,24.0161461797529,0.542117423054282
0.000301691,24.0124137712056,0.542463240586701
0.000301711,24.0087296702693,0.542809107141656
0.000301731,24.0050937538077,0.543155022073981
0.000301751,24.0015058989401,0.543500984740609
0.000301771,23.9979659830413,0.543846994505797
0.000301791,23.994473883741,0.544193050728807
0.000301811,23.9910294789235,0.544539152772878
0.000301831,23.9876326467268,0.544885300002739
0.000301851,23.9842832655426,0.545231491787733
0.000301871,23.980981214016,0.545577727494351
0.000301891,23.9777263710443,0.545924006492038
0.000301911,23.974518615777,0.546270328150738
0.000301931,23.9713578276154,0.54661669184414
0.000301951,23.9682438862119,0.54696309695006
0.000301971,23.9651766714699,0.547309542841269
0.000301991,23.9621560635427,0.547656028894452
0.000302010999999999,23.9591819428337,0.548002554491192
0.000302030999999999,23.9562541899953,0.548349119011608
0.000302050999999999,23.9533726859292,0.548695721837974
0.000302070999999999,23.9505373117853,0.549042362360328
0.000302090999999999,23.9477479489617,0.54938903995862
0.000302110999999999,23.9450044791034,0.549735754015519
0.000302130999999999,23.9423067841022,0.550082503924089
0.000302150999999999,23.9396547460968,0.550429289075677
0.000302170999999999,23.937048247472,0.550776108866339
0.000302190999999999,23.9344871708583,0.551122962686263
0.000302210999999999,23.9319713991311,0.551469849929534
0.000302230999999999,23.9295008154102,0.551816769991579
0.000302250999999999,23.9270753030591,0.552163722268378
0.000302270999999999,23.9246947456854,0.552510706163756
0.000302290999999999,23.9223590271397,0.55285772107556
0.000302310999999999,23.9200680315153,0.553204766408687
0.000302330999999999,23.9178216431478,0.55355184156934
0.000302350999999999,23.9156197466146,0.553898945960531
0.000302370999999999,23.9134622267343,0.554246078990609
0.000302390999999999,23.9113489685665,0.554593240072289
0.000302410999999999,23.9092798574114,0.554940428614609
0.000302430999999999,23.9072547788089,0.555287644033377
0.000302450999999999,23.9052736185387,0.555634885740854
0.000302470999999999,23.9033362626188,0.55598215314217
0.000302490999999999,23.9014425973053,0.556329445658903
0.000302510999999999,23.8995925090929,0.556676762713336
0.000302530999999999,23.8977858847139,0.557024103721997
0.000302550999999999,23.8960226111373,0.557371468105981
0.000302570999999999,23.894302575569,0.557718855287367
0.000302590999999999,23.8926256654511,0.558066264694582
0.000302610999999999,23.8909917684615,0.558413695750689
0.000302630999999999,23.8894007725131,0.558761147881548
0.000302650999999999,23.8878525657538,0.559108620520444
0.000302670999999999,23.8863470365658,0.559456113092968
0.000302690999999999,23.8848840735652,0.559803625035056
0.000302710999999999,23.8834635656014,0.560151155777407
0.000302730999999999,23.8820854017568,0.560498704750557
0.000302750999999999,23.8807494713458,0.560846271393506
0.000302770999999999,23.8794556639153,0.561193855145981
0.000302790999999999,23.8782038692441,0.561541455449407
0.000302810999999999,23.8769939773419,0.561889071740441
0.000302830999999999,23.8758258784488,0.562236703457778
0.000302850999999999,23.8746994630352,0.56258435004782
0.000302870999999999,23.8736146218013,0.562932010957894
0.000302890999999999,23.8725712456767,0.563279685630722
0.000302910999999999,23.8715692258201,0.563627373519116
0.000302930999999999,23.8706084536186,0.563975074069574
0.000302950999999999,23.8696888206868,0.564322786727282
0.000302970999999999,23.8688102188672,0.564670510955271
0.000302990999999999,23.86797254023,0.565018246205815
0.000303010999999999,23.8671756770714,0.56536599192778
0.000303030999999999,23.8664195219139,0.565713747578312
0.000303050999999999,23.8657039675052,0.566061512614629
0.000303070999999999,23.8650289068191,0.566409286500038
0.000303090999999999,23.8643942330539,0.566757068691516
0.000303110999999999,23.8637998396323,0.567104858651999
0.000303130999999999,23.8632456202014,0.56745265585199
0.000303150999999999,23.8627314686318,0.567800459747986
0.000303170999999999,23.8622572790165,0.568148269803663
0.000303190999999999,23.8618229456716,0.568496085492268
0.000303210999999999,23.8614283631356,0.568843906285836
0.000303230999999999,23.8610734261689,0.569191731653074
0.000303250999999999,23.8607580297536,0.569539561067902
0.000303270999999999,23.8604820690923,0.569887394001256
0.000303290999999999,23.8602454396079,0.570235229923622
0.000303310999999999,23.8600480369438,0.570583068320203
